cod_pedido,regiao_pais,produto,valor,quantidade,valor_total_bruto,data,estado,formapagto,centro_distribuicao,responsavelpedido,valor_comissao,lucro_liquido,categoriaprod
43,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,24/10/2019,Piauí,Cartao Crédito,Papa Léguas,Cristian,"0,72","28,8",Brinquedo
50,Sul,Bola Pet Vinil Big Blue,20,4.0,80,22/04/2019,Rio Grande do Sul,Pix,Tree True,Vivian,"0,8",32,Brinquedo
157,Norte,Roupa para Cao Billaboard,32,70.0,2240,22/07/2019,Amazonas,Cartao Débito,Rapid Pink,Silvia,"23,8",1309,Acessório
166,Nordeste,Roupa para Cao Billaboard,43,70.0,3010,20/03/2019,Paraíba,Boleto Bancário,Gold Beach,Cristina,"25,2",1386,Acessório
184,Centro Oeste,Vitamina E Granulado BigForce,72,70.0,5040,13/06/2019,Mato Grosso,Pix,Graos Blue,Andressa,"53,2",2926,Medicamento
229,Sudeste,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,43,72.0,3096,4/10/2019,Espírito Santo,Cartao Débito,Papa Léguas,Tereza,"23,04","1267,2",Medicamento
255,Nordeste,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,71.0,2059,29/09/2019,Bahia,Pix,Gold Beach,Sonia,"22,01","1760,8",Higiene e Limpeza
269,Norte,Kit Banho e Tosa com Escova PetShop Caopeon,66,70.0,4620,26/08/2019,Amapá,Cartao Débito,Rapid Pink,Maria Linda,91,3640,Higiene e Limpeza
276,Centro Oeste,Kit Banho e Tosa com Escova PetShop Caopeon,67,70.0,4690,26/10/2019,Mato Grosso,Dinheiro,Graos Blue,Andressa,"93,8",3752,Higiene e Limpeza
377,Centro Oeste,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",102,72.0,7344,2/7/2019,Mato Grosso do  Sul,Cartao Crédito,Graos Blue,Ligia,"146,88",3672,Alimentacao
387,Sudeste,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",99,71.0,7029,6/3/2019,Minas Gerais,Boleto Bancário,Papa Léguas,Monique,"137,74","3443,5",Alimentacao
442,Sul,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,31,71.0,2201,28/07/2019,Rio Grande do Sul,Pix,Tree True,Vivian,"42,6",639,Petisco
468,Norte,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,34,70.0,2380,1/4/2019,Acre,Cartao Débito,Rapid Pink,Carlos,"44,8",896,Petisco
495,Centro Oeste,Meias esportivas para caes para ambientes internos e externos,31,70.0,2170,13/05/2019,Distrito Federal,Dinheiro,Graos Blue,Lucia,"43,4",868,Acessório
508,Sul,Meias esportivas para caes para ambientes internos e externos,31,70.0,2170,15/05/2019,Santa  Catarina,Cartao Crédito,Tree True,Vitória,"43,4",868,Acessório
535,Norte,Bandana Disney Mickey Fábrica Petti ,9,70.0,630,18/06/2019,Acre,Cartao Débito,Rapid Pink,Carlos,"16,8",588,Acessório
562,Norte,Biscoito  True Champion 300g,22,4.0,88,11/11/2019,Pará,Cartao Débito,Rapid Pink,Julia,"2,64","35,2",Alimentacao
563,Norte,Biscoito  True Champion 300g,19,4.0,76,3/2/2019,Rondônia,Cartao Crédito,Rapid Pink,Yuri,"2,28","30,4",Alimentacao
565,Norte,Biscoito  True Champion 300g,19,4.0,76,4/8/2019,Roraima,Cartao Crédito,Rapid Pink,Adriana,"2,28","30,4",Alimentacao
569,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,19/04/2019,Mato Grosso do  Sul,Dinheiro,Graos Blue,Ligia,"3,12","41,6",Alimentacao
570,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,1/9/2019,Distrito Federal,Cartao Crédito,Graos Blue,Lucia,"3,36","44,8",Alimentacao
575,Nordeste,Biscoito  True Champion 300g,22,4.0,88,29/06/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"2,64","35,2",Alimentacao
577,Sudeste,Biscoito  True Champion 300g,23,4.0,92,30/05/2019,Piauí,Cartao Crédito,Gold Beach,Cristian,"2,76","36,8",Alimentacao
578,Sudeste,Biscoito  True Champion 300g,17,4.0,68,1/7/2019,Sao Paulo,Dinheiro,Papa Léguas,Miriam,"2,04","27,2",Alimentacao
581,Sudeste,Biscoito  True Champion 300g,19,4.0,76,22/02/2019,Espírito Santo,Cartao Débito,Papa Léguas,Tereza,"2,28","30,4",Alimentacao
582,Sul,Biscoito  True Champion 300g,16,4.0,64,19/03/2019,Paraná,Cartao Crédito,Tree True,Beatriz,"1,92","25,6",Alimentacao
593,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,6/8/2019,Mato Grosso,Boleto Bancário,Graos Blue,Andressa,"2,28","30,4",Brinquedo
600,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,3/9/2019,Paraíba,Cartao Crédito,Gold Beach,Cristina,"2,64","35,2",Brinquedo
602,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,12/3/2019,Piauí,Cartao Crédito,Papa Léguas,Cristian,"2,16","28,8",Brinquedo
609,Sul,Bola Pet Vinil Big Blue,20,4.0,80,16/02/2019,Rio Grande do Sul,Cartao Crédito,Tree True,Vivian,"2,4",32,Brinquedo
620,Centro Oeste,Cama média almofadada Pity,48,70.0,3360,23/09/2019,Distrito Federal,Boleto Bancário,Graos Blue,Lucia,"115,5",2310,Acessório
629,Norte,Penas Gatito,16,71.0,1136,7/8/2019,Pará,Cartao Crédito,Rapid Pink,Julia,"29,82","715,68",Brinquedo
754,Sudeste,Shampoo vegano para cachorro e gato de camomila 250 ml,22,70.0,1540,25/03/2019,Rio de Janeiro,Boleto Bancário,Papa Léguas,Antonio,"48,3",1288,Higiene e Limpeza
812,Norte,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,39,70.0,2730,24/02/2019,Rondônia,Pix,Rapid Pink,Yuri,"75,6",1260,Bebedouros e Comedouros
861,Norte,Racao Royal Canin Club Performance para Caes Adultos,216,71.0,15336,27/03/2019,Pará,Pix,Rapid Pink,Julia,"443,04","5907,2",Alimentacao
950,Nordeste,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,29,72.0,2088,1/6/2019,Pernambuco,Dinheiro,Gold Beach,Claudio,"58,32","1166,4",Petisco
1006,Sul,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,32,72.0,2304,10/2/2019,Paraná,Dinheiro,Tree True,Beatriz,"106,56","1598,4",Petisco
1008,Sul,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,28,72.0,2016,21/09/2019,Rio Grande do Sul,Dinheiro,Tree True,Vivian,"74,88","1123,2",Petisco
1017,Centro Oeste,Meias esportivas para caes para ambientes internos e externos,33,71.0,2343,16/01/2019,Mato Grosso,Dinheiro,Graos Blue,Andressa,"88,04","1320,6",Acessório
1086,Norte,Biscoito  True Champion 300g,22,4.0,88,10/4/2019,Pará,Dinheiro,Rapid Pink,Julia,"1,76","52,8",Alimentacao
1087,Norte,Biscoito  True Champion 300g,19,4.0,76,12/5/2019,Rondônia,Pix,Rapid Pink,Yuri,"1,52","45,6",Alimentacao
1089,Norte,Biscoito  True Champion 300g,19,4.0,76,26/12/2019,Roraima,Boleto Bancário,Rapid Pink,Adriana,"1,52","45,6",Alimentacao
1093,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,8/7/2019,Mato Grosso do  Sul,Dinheiro,Graos Blue,Ligia,"2,08","62,4",Alimentacao
1094,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,6/7/2019,Distrito Federal,Cartao Débito,Graos Blue,Lucia,"2,24","67,2",Alimentacao
1099,Nordeste,Biscoito  True Champion 300g,22,4.0,88,30/09/2019,Paraíba,Cartao Débito,Gold Beach,Cristina,"1,76","52,8",Alimentacao
1101,Sudeste,Biscoito  True Champion 300g,23,4.0,92,7/6/2019,Piauí,Dinheiro,Gold Beach,Cristian,"1,84","55,2",Alimentacao
1102,Sudeste,Biscoito  True Champion 300g,17,4.0,68,2/7/2019,Sao Paulo,Boleto Bancário,Papa Léguas,Miriam,"1,36","40,8",Alimentacao
1105,Sudeste,Biscoito  True Champion 300g,19,4.0,76,3/7/2019,Espírito Santo,Cartao Débito,Papa Léguas,Tereza,"1,52","45,6",Alimentacao
1106,Sul,Biscoito  True Champion 300g,16,72.0,1152,16/06/2019,Paraná,Pix,Tree True,Beatriz,"23,04","691,2",Alimentacao
1117,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,1/9/2019,Mato Grosso,Dinheiro,Graos Blue,Andressa,"1,52","45,6",Brinquedo
1124,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,27/08/2019,Paraíba,Pix,Gold Beach,Cristina,"1,76","52,8",Brinquedo
1126,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,2/3/2019,Piauí,Boleto Bancário,Papa Léguas,Cristian,"1,44","43,2",Brinquedo
1133,Sul,Bola Pet Vinil Big Blue,20,4.0,80,14/09/2019,Rio Grande do Sul,Boleto Bancário,Tree True,Vivian,"1,6",48,Brinquedo
1183,Sul,Penas Gatito,18,72.0,1296,4/9/2019,Rio Grande do Sul,Dinheiro,Tree True,Vivian,"10,8",648,Brinquedo
1186,Norte,Mordedor de Corda Bola,11,72.0,792,7/4/2019,Pará,Dinheiro,Rapid Pink,Julia,"23,76","475,2",Brinquedo
1192,Centro Oeste,Mordedor de Corda Bola,12,71.0,852,24/03/2019,Mato Grosso,Cartao Débito,Graos Blue,Andressa,"23,43","468,6",Brinquedo
1226,Sudeste,Roupa para Gato Petti,38,71.0,2698,18/10/2019,Piauí,Boleto Bancário,Gold Beach,Cristian,"89,46","1789,2",Acessório
1278,Sudeste,Vitamina E Granulado BigForce,70,72.0,5040,8/12/2019,Minas Gerais,Dinheiro,Papa Léguas,Monique,"167,04","2505,6",Medicamento
1312,Norte,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,30,72.0,2160,1/6/2019,Rondônia,Pix,Rapid Pink,Yuri,"71,28","1425,6",Medicamento
1387,Norte,Kit Banho e Tosa com Escova PetShop Caopeon,64,70.0,4480,9/6/2019,Rondônia,Dinheiro,Rapid Pink,Yuri,"220,5",2646,Higiene e Limpeza
1388,Norte,Kit Banho e Tosa com Escova PetShop Caopeon,65,70.0,4550,13/12/2019,Tocantins,Cartao Débito,Rapid Pink,Dolores,"234,5",2814,Higiene e Limpeza
1400,Nordeste,Kit Banho e Tosa com Escova PetShop Caopeon,65,71.0,4615,18/11/2019,Pernambuco,Dinheiro,Gold Beach,Claudio,"234,3","2811,6",Higiene e Limpeza
1458,Sul,Nutri Alimentador Inteligente Automático Câmera Google Alexa,838,70.0,58660,20/04/2019,Rio Grande do Sul,Cartao Débito,Tree True,Vivian,"3802,4",16296,Bebedouros e Comedouros
1477,Sudeste,Racao Royal Canin Club Performance para Caes Adultos,218,70.0,15260,29/06/2019,Sao Paulo,Boleto Bancário,Papa Léguas,Miriam,"298,2",5964,Alimentacao
1478,Sudeste,Racao Royal Canin Club Performance para Caes Adultos,213,72.0,15336,25/07/2019,Minas Gerais,Pix,Papa Léguas,Monique,"296,64","5932,8",Alimentacao
1507,Sul,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",90,71.0,6390,1/9/2019,Santa  Catarina,Pix,Tree True,Vitória,"134,9","3372,5",Alimentacao
1511,Norte,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,20,71.0,1420,11/7/2019,Pará,Cartao Débito,Rapid Pink,Julia,"34,08",852,Alimentacao
1512,Norte,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,40,72.0,2880,27/03/2019,Rondônia,Cartao Débito,Rapid Pink,Yuri,"48,96",1224,Alimentacao
1515,Norte,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,41,70.0,2870,26/04/2019,Amazonas,Dinheiro,Rapid Pink,Silvia,"36,4",910,Alimentacao
1554,Sudeste,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,31,72.0,2232,12/4/2019,Rio de Janeiro,Boleto Bancário,Papa Léguas,Antonio,"60,48","604,8",Petisco
1571,Nordeste,Whiskas Petisco Temptations Anti Bola de Pelo 40g,8,72.0,576,30/11/2019,Bahia,Dinheiro,Gold Beach,Sonia,"15,12","151,2",Petisco
1589,Norte,Pote Petisco Para Cachorro Bifinho Sabor Carne 1Kg Amiguitos,32,71.0,2272,8/11/2019,Roraima,Dinheiro,Rapid Pink,Adriana,"79,52","795,2",Petisco
1678,Sudeste,Bandana Disney Mickey Fábrica Petti ,11,72.0,792,31/07/2019,Minas Gerais,Cartao Débito,Papa Léguas,Monique,"12,96","453,6",Acessório
1686,Norte,Biscoito  True Champion 300g,22,4.0,88,31/07/2019,Pará,Pix,Rapid Pink,Julia,"1,76","35,2",Alimentacao
1687,Norte,Biscoito  True Champion 300g,19,4.0,76,4/5/2019,Rondônia,Cartao Crédito,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
1689,Norte,Biscoito  True Champion 300g,19,4.0,76,7/10/2019,Roraima,Boleto Bancário,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
1693,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,20/06/2019,Mato Grosso do  Sul,Boleto Bancário,Graos Blue,Ligia,"2,08","41,6",Alimentacao
1694,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,7/5/2019,Distrito Federal,Pix,Graos Blue,Lucia,"2,24","44,8",Alimentacao
1697,Nordeste,Biscoito  True Champion 300g,20,71.0,54,20/04/2019,Ceará,Boleto Bancário,Gold Beach,Neide,"28,4",568,Alimentacao
1699,Nordeste,Biscoito  True Champion 300g,22,4.0,88,7/6/2019,Paraíba,Cartao Débito,Gold Beach,Cristina,"1,76","35,2",Alimentacao
1701,Sudeste,Biscoito  True Champion 300g,23,4.0,92,23/02/2019,Piauí,Boleto Bancário,Gold Beach,Cristian,"1,84","36,8",Alimentacao
1702,Sudeste,Biscoito  True Champion 300g,17,4.0,68,15/09/2019,Sao Paulo,Cartao Débito,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
1705,Sudeste,Biscoito  True Champion 300g,19,4.0,76,15/12/2019,Espírito Santo,Cartao Crédito,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
1706,Sul,Biscoito  True Champion 300g,16,4.0,64,10/1/2019,Paraná,Boleto Bancário,Tree True,Beatriz,"1,28","25,6",Alimentacao
1715,Norte,Bola Pet Vinil Big Blue,18,70.0,1260,12/9/2019,Amazonas,Boleto Bancário,Rapid Pink,Silvia,"25,2",504,Brinquedo
1717,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,27/10/2019,Mato Grosso,Boleto Bancário,Graos Blue,Andressa,"1,52","30,4",Brinquedo
1721,Nordeste,Bola Pet Vinil Big Blue,18,71.0,1278,16/01/2019,Bahia,Dinheiro,Gold Beach,Sonia,"25,56","511,2",Brinquedo
1724,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,18/10/2019,Paraíba,Pix,Gold Beach,Cristina,"1,76","35,2",Brinquedo
1726,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,2/9/2019,Piauí,Boleto Bancário,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
1727,Sudeste,Bola Pet Vinil Big Blue,20,71.0,1420,6/5/2019,Sao Paulo,Boleto Bancário,Papa Léguas,Miriam,"28,4",568,Brinquedo
1733,Sul,Bola Pet Vinil Big Blue,20,4.0,80,27/12/2019,Rio Grande do Sul,Cartao Crédito,Tree True,Vivian,"1,6",32,Brinquedo
1742,Centro Oeste,Cama média almofadada Pity,55,70.0,3850,28/01/2019,Mato Grosso,Pix,Graos Blue,Andressa,"39,2",2352,Acessório
1749,Nordeste,Cama média almofadada Pity,50,72.0,3600,28/07/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"41,76","2505,6",Acessório
1768,Centro Oeste,Penas Gatito,14,72.0,1008,18/05/2019,Mato Grosso do  Sul,Cartao Débito,Graos Blue,Ligia,"12,96","933,12",Brinquedo
1806,Sul,Mordedor de Corda Bola,12,70.0,840,11/4/2019,Paraná,Cartao Crédito,Tree True,Beatriz,"27,3","473,2",Brinquedo
1877,Sudeste,Vitamina E Granulado BigForce,72,71.0,5112,18/08/2019,Sao Paulo,Pix,Papa Léguas,Miriam,"159,04","2186,8",Medicamento
1963,Norte,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,71.0,2059,26/12/2019,Tocantins,Dinheiro,Rapid Pink,Dolores,"20,59","1647,2",Higiene e Limpeza
1983,Sul,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,29,71.0,2059,24/02/2019,Rio Grande do Sul,Cartao Crédito,Tree True,Vivian,"22,01","1760,8",Higiene e Limpeza
2023,Nordeste,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,35,72.0,2520,20/11/2019,Maranhao,Cartao Débito,Gold Beach,Clarice,"75,6",1260,Bebedouros e Comedouros
2028,Sudeste,Bebedouro e Comedouro Automático para Caes e Gatos Filhotes,36,72.0,2592,13/05/2019,Minas Gerais,Boleto Bancário,Papa Léguas,Monique,"77,76",1296,Bebedouros e Comedouros
2058,Sul,Nutri Alimentador Inteligente Automático Câmera Google Alexa,803,71.0,57013,3/12/2019,Rio Grande do Sul,Cartao Débito,Tree True,Vivian,"3936,24","16869,6",Bebedouros e Comedouros
2073,Nordeste,Racao Royal Canin Club Performance para Caes Adultos,204,71.0,14484,18/03/2019,Maranhao,Boleto Bancário,Gold Beach,Clarice,"305,3",6106,Alimentacao
2098,Nordeste,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",99,70.0,6930,2/4/2019,Maranhao,Boleto Bancário,Gold Beach,Clarice,126,3150,Alimentacao
2133,Sul,Racao Úmida Royal Canin Lata Veterinary Caes Adultos 500g,35,71.0,2485,29/07/2019,Rio Grande do Sul,Cartao Débito,Tree True,Vivian,"36,92",923,Alimentacao
2136,Norte,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,27,72.0,1944,25/12/2019,Pará,Cartao Crédito,Rapid Pink,Julia,"58,32","583,2",Petisco
2137,Norte,Biscoito Pedigree Biscrok Multi para Caes Adultos 1 Kg 420g,30,72.0,2160,17/11/2019,Rondônia,Boleto Bancário,Rapid Pink,Yuri,"64,8",648,Petisco
2253,Sudeste,Cama Coracao Coroa Pet Nest Almofada Lavável,87,70.0,6090,17/05/2019,Minas Gerais,Cartao Débito,Papa Léguas,Monique,343,4116,Acessório
2286,Norte,Biscoito  True Champion 300g,22,4.0,88,19/08/2019,Pará,Cartao Crédito,Rapid Pink,Julia,"1,76","35,2",Alimentacao
2287,Norte,Biscoito  True Champion 300g,19,4.0,76,8/8/2019,Rondônia,Pix,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
2289,Norte,Biscoito  True Champion 300g,19,71.0,1349,16/12/2019,Roraima,Cartao Débito,Rapid Pink,Adriana,"26,98","539,6",Alimentacao
2293,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,3/12/2019,Mato Grosso do  Sul,Boleto Bancário,Graos Blue,Ligia,"2,08","41,6",Alimentacao
2294,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,5/1/2019,Distrito Federal,Pix,Graos Blue,Lucia,"2,24","44,8",Alimentacao
2299,Nordeste,Biscoito  True Champion 300g,22,4.0,88,4/6/2019,Paraíba,Pix,Gold Beach,Cristina,"1,76","35,2",Alimentacao
2301,Sudeste,Biscoito  True Champion 300g,23,4.0,92,7/3/2019,Piauí,Pix,Gold Beach,Cristian,"1,84","36,8",Alimentacao
2302,Sudeste,Biscoito  True Champion 300g,17,4.0,68,20/07/2019,Sao Paulo,Pix,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
2305,Sudeste,Biscoito  True Champion 300g,19,4.0,76,4/10/2019,Espírito Santo,Boleto Bancário,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
2306,Sul,Biscoito  True Champion 300g,16,4.0,64,19/06/2019,Paraná,Boleto Bancário,Tree True,Beatriz,"1,28","25,6",Alimentacao
2317,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,1/3/2019,Mato Grosso,Dinheiro,Graos Blue,Andressa,"1,52","30,4",Brinquedo
2324,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,9/2/2019,Paraíba,Pix,Gold Beach,Cristina,"1,76","35,2",Brinquedo
2326,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,4/6/2019,Piauí,Boleto Bancário,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
2333,Sul,Bola Pet Vinil Big Blue,20,4.0,80,12/3/2019,Rio Grande do Sul,Boleto Bancário,Tree True,Vivian,"1,6",32,Brinquedo
2359,Norte,Penas Gatito,16,71.0,1136,9/2/2019,Acre,Boleto Bancário,Rapid Pink,Carlos,"9,94","715,68",Brinquedo
2404,Sudeste,Mordedor de Corda Bola,12,72.0,864,24/07/2019,Rio de Janeiro,Pix,Papa Léguas,Antonio,"23,76","411,84",Brinquedo
2406,Sul,Mordedor de Corda Bola,13,71.0,923,5/2/2019,Paraná,Cartao Débito,Tree True,Beatriz,"27,69","479,96",Brinquedo
2454,Sudeste,Roupa para Cao Billaboard,44,72.0,3168,16/10/2019,Rio de Janeiro,Boleto Bancário,Papa Léguas,Antonio,"123,84","1702,8",Acessório
2505,Sudeste,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,281,72.0,20232,14/08/2019,Espírito Santo,Dinheiro,Papa Léguas,Tereza,"622,08","11404,8",Medicamento
2508,Sul,Antipulgas e Carrapatos MSD Bravecto para Pet de 2 a 10 Kg,278,72.0,20016,15/09/2019,Rio Grande do Sul,Pix,Tree True,Vivian,"617,76","11325,6",Medicamento
2512,Norte,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,36,71.0,2556,21/01/2019,Rondônia,Boleto Bancário,Rapid Pink,Yuri,"66,03","1210,55",Medicamento
2515,Norte,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,32,70.0,2240,14/02/2019,Amazonas,Dinheiro,Rapid Pink,Silvia,"90,3","1655,5",Medicamento
2532,Sul,Suplemento Alimentar Glutamina Mundo Animal Nutrisana,40,70.0,2800,7/5/2019,Santa  Catarina,Pix,Tree True,Vitória,"75,6",1386,Medicamento
2536,Norte,Shampoo vegano para cachorro e gato de camomila 250 ml,21,72.0,1512,6/8/2019,Pará,Pix,Rapid Pink,Julia,"49,68","1324,8",Higiene e Limpeza
2570,Nordeste,Escova Pet Rasqueadeira Tira Pelos Cachorro e Gatos,30,70.0,2100,4/7/2019,Alagoas,Dinheiro,Gold Beach,Marta,"21,7",1736,Higiene e Limpeza
2659,Norte,Racao Royal Canin Club Performance para Caes Adultos,217,72.0,15624,6/12/2019,Acre,Dinheiro,Rapid Pink,Carlos,"305,28","6105,6",Alimentacao
2677,Sudeste,Racao Royal Canin Club Performance para Caes Adultos,221,70.0,15470,4/2/2019,Sao Paulo,Pix,Papa Léguas,Miriam,301,6020,Alimentacao
2695,Nordeste,"Racao Royal Canin Exigent Gatos Adultos 1,5Kg",92,71.0,6532,24/05/2019,Alagoas,Cartao Débito,Gold Beach,Marta,"132,06","3301,5",Alimentacao
2826,Sudeste,Meias esportivas para caes para ambientes internos e externos,33,70.0,2310,15/01/2019,Piauí,Cartao Crédito,Gold Beach,Cristian,"89,6",896,Acessório
2886,Norte,Biscoito  True Champion 300g,22,4.0,88,31/12/2019,Pará,Boleto Bancário,Rapid Pink,Julia,"1,76","35,2",Alimentacao
2887,Norte,Biscoito  True Champion 300g,19,4.0,76,26/11/2019,Rondônia,Dinheiro,Rapid Pink,Yuri,"1,52","30,4",Alimentacao
2889,Norte,Biscoito  True Champion 300g,19,4.0,76,6/3/2019,Roraima,Pix,Rapid Pink,Adriana,"1,52","30,4",Alimentacao
2893,Centro Oeste,Biscoito  True Champion 300g,26,4.0,104,16/04/2019,Mato Grosso do  Sul,Cartao Débito,Graos Blue,Ligia,"2,08","41,6",Alimentacao
2894,Centro Oeste,Biscoito  True Champion 300g,28,4.0,112,3/9/2019,Distrito Federal,Dinheiro,Graos Blue,Lucia,"2,24","44,8",Alimentacao
2899,Nordeste,Biscoito  True Champion 300g,22,4.0,88,6/11/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"1,76","35,2",Alimentacao
2901,Sudeste,Biscoito  True Champion 300g,23,4.0,92,4/3/2019,Piauí,Cartao Crédito,Gold Beach,Cristian,"1,84","36,8",Alimentacao
2902,Sudeste,Biscoito  True Champion 300g,17,4.0,68,18/10/2019,Sao Paulo,Pix,Papa Léguas,Miriam,"1,36","27,2",Alimentacao
2905,Sudeste,Biscoito  True Champion 300g,19,4.0,76,5/8/2019,Espírito Santo,Cartao Crédito,Papa Léguas,Tereza,"1,52","30,4",Alimentacao
2906,Sul,Biscoito  True Champion 300g,16,4.0,64,31/03/2019,Paraná,Dinheiro,Tree True,Beatriz,"1,28","25,6",Alimentacao
2913,Norte,Bola Pet Vinil Big Blue,18,72.0,1296,29/01/2019,Tocantins,Cartao Crédito,Rapid Pink,Dolores,"25,92","518,4",Brinquedo
2917,Centro Oeste,Bola Pet Vinil Big Blue,19,4.0,76,6/7/2019,Mato Grosso,Cartao Crédito,Graos Blue,Andressa,"1,52","30,4",Brinquedo
2924,Nordeste,Bola Pet Vinil Big Blue,22,4.0,88,22/03/2019,Paraíba,Dinheiro,Gold Beach,Cristina,"1,76","35,2",Brinquedo
2926,Sudeste,Bola Pet Vinil Big Blue,18,4.0,72,9/8/2019,Piauí,Cartao Débito,Papa Léguas,Cristian,"1,44","28,8",Brinquedo
